,city,Cloudiness,Dates,Humidity,Lat,Lngs,Max Temp,Wind Speed,Country
0,vardo,75,1580171757,92,70.37,31.11,-12.0,6.2,NO
1,fomboni,37,1580171760,74,-12.28,43.74,28.19,5.55,KM
2,vaini,75,1580171040,88,-21.2,-175.2,27.0,2.1,TO
3,avarua,100,1580171175,94,-21.21,-159.78,25.0,2.1,CK
4,doha,0,1580171761,66,25.29,51.53,13.0,1.0,QA
5,poya,18,1580171762,77,-21.35,165.15,25.84,5.22,NC
6,yangambi,89,1580171763,43,0.81,24.43,23.48,0.77,CD
7,tadine,16,1580171763,64,-21.55,167.88,27.98,5.64,NC
8,hilo,90,1580171147,61,19.73,-155.09,27.0,5.7,US
9,dongsheng,86,1580171763,94,39.82,109.98,-7.43,4.7,CN
10,puerto ayora,75,1580171048,61,-0.74,-90.35,28.0,2.1,EC
11,berlevag,40,1580171192,78,70.86,29.09,-11.0,3.1,NO
12,luderitz,0,1580171204,59,-26.65,15.16,17.0,6.2,NA
13,kathu,20,1580171764,88,7.92,98.33,22.0,3.96,TH
14,ushuaia,90,1580171760,87,-54.8,-68.3,9.0,1.5,AR
15,hattiesburg,20,1580171711,93,31.33,-89.29,10.0,1.45,US
16,scottsbluff,20,1580171239,74,41.87,-103.67,3.33,3.6,US
17,hithadhoo,100,1580171184,80,-0.6,73.08,27.43,6.96,MV
18,bluff,11,1580171046,48,-46.6,168.33,18.03,2.58,NZ
19,yellowknife,90,1580171187,92,62.46,-114.35,-6.11,4.1,CA
20,bathsheba,20,1580171765,69,13.22,-59.52,26.0,4.6,BB
21,poum,93,1580171181,79,-20.23,164.02,26.53,9.09,NC
22,barra patuca,35,1580171765,76,15.8,-84.28,25.85,4.91,HN
23,havre-saint-pierre,90,1580171765,78,50.23,-63.6,-9.0,8.2,CA
24,chute-aux-outardes,90,1580171766,79,49.12,-68.4,-4.0,4.1,CA
25,victoria,40,1580171173,66,22.29,114.16,11.67,5.1,HK
26,metro,89,1580171766,89,-5.11,105.31,25.25,1.7,ID
27,rafai,26,1580171766,31,4.95,23.92,19.73,1.56,CF
28,new norfolk,20,1580171187,43,-42.78,147.06,22.78,7.7,AU
29,andilamena,81,1580171260,93,-17.02,48.58,18.23,1.24,MG
30,kapaa,90,1580171171,69,22.08,-159.32,26.0,4.6,US
31,rawson,0,1580171261,37,-43.3,-65.1,24.03,3.93,AR
32,dankov,90,1580171766,98,53.25,39.16,0.0,2.0,RU
33,busselton,0,1580171767,28,-33.65,115.33,31.11,1.96,AU
34,upernavik,100,1580171189,91,72.79,-56.15,-25.15,2.27,GL
35,faanui,77,1580171175,73,-16.48,-151.75,28.48,4.81,PF
36,luanda,40,1580171767,83,-8.84,13.23,27.0,2.1,AO
37,yanam,99,1580171055,83,16.73,82.22,23.29,1.38,IN
38,barrow,40,1580171172,68,71.29,-156.79,-29.0,3.6,US
39,vanimo,100,1580171173,80,-2.67,141.3,27.92,4.84,PG
40,puerto penasco,0,1580171470,41,31.32,-113.53,22.22,2.68,MX
41,codrington,98,1580171248,85,-38.27,141.97,15.7,4.79,AU
42,vila franca do campo,75,1580171768,93,37.72,-25.43,17.0,7.7,PT
43,pacific grove,20,1580171768,82,36.62,-121.92,16.67,2.1,US
44,mbanza-ngungu,67,1580171768,92,-5.25,14.87,20.31,1.01,CD
45,rikitea,79,1580171768,78,-23.12,-134.97,26.67,4.61,PF
46,road town,40,1580171257,88,18.42,-64.62,26.0,0.25,VG
47,port augusta,0,1580171768,64,-32.5,137.77,30.56,6.2,AU
48,hobart,20,1580170972,43,-42.88,147.33,22.78,7.7,AU
49,kruisfontein,100,1580171180,80,-34.0,24.73,13.49,1.45,ZA
50,birin,0,1580171769,88,26.89,88.07,2.32,2.07,NP
51,lebu,26,1580171041,79,-37.62,-73.65,16.17,4.92,CL
52,talnakh,40,1580171769,77,69.49,88.4,-14.0,10.0,RU
53,pangnirtung,40,1580171769,60,66.15,-65.71,-32.0,1.5,CA
54,havoysund,35,1580171227,71,71.0,24.66,-13.0,8.7,NO
55,dunedin,84,1580171136,63,-45.87,170.5,20.0,2.02,NZ
56,port elizabeth,100,1580171186,82,-33.92,25.57,13.0,2.6,ZA
57,jambi,66,1580171769,96,-1.6,103.62,24.14,0.53,ID
58,massakory,0,1580171769,11,13.0,15.73,18.38,5.0,TD
59,resplendor,100,1580171770,97,-19.33,-41.26,21.97,2.4,BR
60,hermanus,58,1580171180,95,-34.42,19.23,15.0,1.6,ZA
61,ulaangom,14,1580171770,83,49.98,92.07,-21.69,0.7,MN
62,mataura,69,1580171770,63,-46.19,168.86,21.22,0.68,NZ
63,cape town,68,1580170890,82,-33.93,18.42,16.67,3.1,ZA
64,aklavik,90,1580171184,67,68.22,-135.01,-30.0,5.1,CA
65,alofi,20,1580171109,74,-19.06,-169.92,29.0,3.1,NU
66,ilulissat,90,1580171179,60,69.22,-51.1,-14.0,3.1,GL
67,sibolga,98,1580171771,98,1.74,98.78,22.08,0.96,ID
68,breyten,100,1580171771,87,-26.3,29.99,13.94,2.66,ZA
69,suining,92,1580171762,83,30.51,105.57,6.68,0.52,CN
70,touros,86,1580171137,83,-5.2,-35.46,27.0,4.1,BR
71,kristianstad,100,1580171260,100,56.03,14.15,5.0,2.1,SE
72,nosy varika,75,1580171772,82,-20.58,48.53,22.06,1.2,MG
73,lagoa,100,1580171051,93,39.05,-27.98,17.73,10.46,PT
74,punta arenas,100,1580171772,66,-53.15,-70.92,11.0,6.7,CL
75,moses lake,20,1580171772,65,47.13,-119.28,8.33,2.6,US
76,saint-joseph,20,1580171772,64,-21.37,55.62,22.0,3.6,RE
77,fengzhen,100,1580171772,84,40.44,113.15,-8.76,1.79,CN
78,port lincoln,3,1580171191,64,-34.73,135.87,20.75,2.97,AU
79,banda aceh,100,1580171069,94,5.56,95.32,23.88,1.0,ID
80,castro,90,1580171041,81,-24.79,-50.01,20.11,0.94,BR
81,bethel,90,1580171773,60,41.37,-73.41,6.0,2.1,US
82,karratha,0,1580171773,77,-20.74,116.85,29.14,5.32,AU
83,saskylakh,49,1580171183,97,71.92,114.08,-31.67,1.34,RU
84,iqaluit,90,1580171184,77,63.75,-68.51,-17.0,3.6,CA
85,merritt island,90,1580171773,72,28.54,-80.67,20.0,3.49,US
86,springbok,77,1580171774,30,-29.66,17.89,16.0,2.25,ZA
87,nouadhibou,61,1580171651,68,20.93,-17.03,18.0,8.2,MR
88,kurduvadi,74,1580171774,47,18.08,75.43,19.61,3.06,IN
89,jamestown,90,1580171774,92,42.1,-79.24,0.56,4.6,US
90,carnarvon,40,1580171056,88,-24.87,113.63,26.0,6.7,AU
91,hamilton,90,1580171215,77,39.18,-84.53,1.11,1.5,US
92,villa corzo,5,1580171774,45,16.17,-93.25,29.0,5.1,MX
93,lavrentiya,73,1580171251,70,65.58,-171.0,-23.48,1.15,RU
94,jalu,26,1580171187,28,29.03,21.55,13.72,1.63,LY
95,voh,81,1580171180,74,-20.97,164.7,26.53,5.56,NC
96,cap malheureux,40,1580171775,83,-19.98,57.61,22.22,2.6,MU
97,mildura,0,1580171775,33,-34.2,142.15,26.11,2.6,AU
98,chuy,0,1580171192,77,-33.7,-53.46,16.98,3.49,UY
99,albany,90,1580171704,69,42.6,-73.97,3.33,4.6,US
100,uhlove,100,1580171775,75,44.82,33.6,8.96,2.01,UA
101,taoudenni,0,1580171776,24,22.68,-3.98,22.61,5.76,ML
102,vila velha,90,1580171693,94,-20.33,-40.29,24.0,2.1,BR
103,muzhi,83,1580171776,94,65.37,64.67,-25.37,2.62,RU
104,dikson,96,1580171180,97,73.51,80.55,-23.65,2.12,RU
105,hasaki,75,1580171144,100,35.73,140.83,6.0,5.1,JP
106,cabedelo,20,1580171776,78,-6.98,-34.83,28.0,3.1,BR
107,chester,90,1580171776,64,40.13,-75.87,5.56,4.6,US
108,mubende,100,1580171776,75,0.56,31.39,19.26,0.95,UG
109,barra do corda,100,1580171777,94,-5.5,-45.25,22.95,0.23,BR
110,benjamin constant,75,1580171777,88,-4.38,-70.03,29.0,2.1,BR
111,butaritari,54,1580171777,77,3.07,172.79,29.21,9.56,KI
112,byron bay,40,1580171260,69,-28.65,153.62,29.0,5.7,AU
113,alyangula,97,1580171777,74,-13.85,136.42,31.0,5.7,AU
114,da lat,57,1580171777,89,11.95,108.44,14.3,0.58,VN
115,ancud,20,1580171141,93,-41.87,-73.82,16.0,5.1,CL
116,huarmey,80,1580171185,71,-10.07,-78.15,22.97,2.46,PE
117,khatanga,1,1580171201,92,71.97,102.5,-26.94,2.66,RU
118,moose factory,90,1580171778,92,51.26,-80.61,-12.0,4.6,CA
119,vypolzovo,100,1580171778,92,57.88,33.7,-5.27,4.59,RU
120,avera,90,1580171185,87,33.19,-82.53,11.11,2.6,US
121,east london,98,1580171626,73,-33.02,27.91,19.39,2.86,ZA
122,sola,90,1580171227,94,-13.88,167.55,26.0,7.0,VU
123,kondopoga,100,1580171778,72,62.21,34.26,-10.0,2.0,RU
124,novaya igirma,33,1580171779,85,57.13,103.91,-14.57,1.38,RU
125,humberto de campos,95,1580171779,91,-2.6,-43.46,25.07,1.71,BR
126,sobolevo,100,1580171222,98,54.43,31.9,-0.94,2.73,RU
127,ribeira grande,75,1580171779,93,38.52,-28.7,18.0,8.2,PT
128,banjar,20,1580171779,83,-8.19,114.97,29.0,1.0,ID
129,nanortalik,0,1580171779,64,60.14,-45.24,-5.9,12.87,GL
130,tommot,100,1580171246,94,58.96,126.29,-16.17,3.86,RU
131,severo-kurilsk,97,1580171195,90,50.68,156.12,-2.7,3.92,RU
132,taga,90,1580171779,93,46.95,24.05,3.0,1.0,RO
133,thompson,90,1580171780,92,55.74,-97.86,-12.0,1.0,CA
134,ponta do sol,20,1580171780,72,32.67,-17.1,15.56,2.6,PT
135,longkou,97,1580171780,97,37.65,120.33,1.4,0.73,CN
136,balkanabat,0,1580171780,77,39.51,54.37,0.63,0.75,TM
137,masty,100,1580171780,89,53.41,24.54,1.15,2.42,BY
138,bengkulu,95,1580170934,83,-3.8,102.27,23.87,1.36,ID
139,gladstone,100,1580171209,74,-23.85,151.25,28.33,5.1,AU
140,mar del plata,0,1580171729,67,-38.0,-57.56,16.11,2.6,AR
141,ouallam,85,1580171781,6,14.32,2.09,22.06,4.72,NE
142,kuruman,0,1580171781,35,-27.45,23.43,16.11,4.59,ZA
143,sistranda,75,1580171781,80,63.73,8.83,4.44,5.7,NO
144,general roca,19,1580171212,42,-39.03,-67.58,27.0,4.5,AR
145,opportunity,1,1580171587,90,47.65,-117.24,7.0,3.6,US
146,hambantota,80,1580171223,75,6.12,81.12,24.37,7.83,LK
147,zeya,74,1580171781,93,53.75,127.27,-23.84,1.36,RU
148,hoquiam,90,1580171781,100,46.98,-123.89,9.44,6.2,US
149,north myrtle beach,90,1580171781,81,33.82,-78.68,12.22,3.1,US
150,bambanglipuro,69,1580171255,83,-7.95,110.28,25.83,1.44,ID
151,zanesville,90,1580171601,80,39.94,-82.01,2.0,3.1,US
152,fortuna,90,1580171782,87,40.6,-124.16,13.33,2.6,US
153,naze,75,1580171782,82,28.37,129.48,18.0,4.6,JP
154,akhmim,17,1580171782,52,26.56,31.75,8.0,3.1,EG
155,haines junction,85,1580171783,94,60.75,-137.51,-9.79,3.11,CA
156,zemio,52,1580171198,32,5.03,25.14,18.36,1.61,CF
157,qaanaaq,62,1580171783,62,77.48,-69.36,-24.37,1.47,GL
158,yokadouma,1,1580171783,34,3.52,15.05,18.63,0.19,CM
159,bastia,100,1580171783,100,42.67,9.33,13.0,2.1,FR
160,tuktoyaktuk,40,1580171783,74,69.45,-133.04,-30.0,5.7,CA
161,tongzi,40,1580171783,89,28.78,105.09,6.45,0.79,CN
162,port alfred,100,1580171783,78,-33.59,26.89,15.56,0.89,ZA
163,tungi,0,1580171784,87,23.89,90.41,14.0,1.56,BD
164,malakal,48,1580171784,19,9.53,31.66,20.56,2.88,SS
165,unicov,83,1580171784,97,49.77,17.12,1.67,1.45,CZ
166,atuona,59,1580171784,74,-9.8,-139.03,27.61,4.58,PF
167,asau,99,1580171051,86,46.43,26.4,3.33,1.0,RO
168,los llanos de aridane,75,1580171784,59,28.66,-17.92,18.0,3.1,ES
169,mount isa,75,1580171785,74,-20.73,139.5,28.0,6.7,AU
